state,st_abb,date,tmin,tmax,tavg,ppt,coal,natural gas,petroleum coke,petroleum liquids
New Hampshire,NH,2001-04-01,28.4522,52.313,40.3826,25.405,106.0,10.179,0.0,16.184
New Jersey,NJ,2001-04-01,40.7084,61.925,51.315799999999996,45.541,264.0,313.308,0.0,29.240000000000002
New Mexico,NM,2001-04-01,37.4684,70.36160000000001,53.915,10.932,909.0,154.359,0.0,1.088
Nevada,NV,2001-04-01,31.5086,58.04600000000001,44.7782,30.245,412.0,187.002,0.0,40.256
New York,NY,2001-04-01,33.0044,55.0598,44.0312,29.29,782.0,507.951,0.0,394.12800000000004
Ohio,OH,2001-04-01,41.3636,65.2982,53.3318,89.724,4196.0,29.349,0.0,16.592000000000002
Oklahoma,OK,2001-04-01,50.027,75.1154,62.571200000000005,32.778,1382.0,306.801,0.0,2.584
Oregon,OR,2001-04-01,30.3566,52.4786,41.4176,67.996,231.0,173.124,0.0,0.544
Pennsylvania,PA,2001-04-01,37.3802,60.2132,48.7958,69.699,3753.0,45.467999999999996,4.0,132.60000000000002
Rhode Island,RI,2001-04-01,37.76,57.007400000000004,47.382799999999996,52.176,0.0,97.821,0.0,4.6240000000000006
South Carolina,SC,2001-04-01,50.549,76.0928,63.32,22.778,999.0,10.286999999999999,0.0,14.144000000000002
South Dakota,SD,2001-04-01,34.151,57.1118,45.6314,98.373,205.0,17.064,0.0,0.544
Tennessee,TN,2001-04-01,49.0676,72.7466,60.9062,73.004,2283.0,15.498,0.0,6.800000000000001
Texas,TX,2001-04-01,54.914,79.4192,67.1666,18.715,6900.0,4188.051,47.0,19.040000000000003
Utah,UT,2001-04-01,33.7406,59.0486,46.3946,40.628,1075.0,53.676,0.0,1.088
Virginia,VA,2001-04-01,43.592,69.161,56.3756,41.319,1256.0,45.927,0.0,155.99200000000002
Vermont,VT,2001-04-01,28.3676,50.8514,39.6086,24.098,0.0,0.054,0.0,0.40800000000000003
Washington,WA,2001-04-01,33.0566,52.853,42.9548,83.048,406.0,275.427,0.0,9.928
Wisconsin,WI,2001-04-01,35.4542,57.1154,46.284800000000004,122.503,2048.0,43.578,17.0,5.5760000000000005
West Virginia,WV,2001-04-01,40.6832,67.1378,53.9096,57.115,2619.0,13.365,0.0,4.488
Wyoming,WY,2001-04-01,27.941000000000003,52.150999999999996,40.046,44.692,2017.0,13.608,0.0,1.2240000000000002
